#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1907.45   -0.007087    0.015866   -0.041019    0.017101  -0.0002146   0.0000000    0.228902    0.000000    0.016608    0.000000
   1907.50   -0.041894    0.014404   -0.054236    0.013667   0.0002844   0.0000000    0.225898    0.000000    0.017169    0.000000
   1907.55   -0.039545    0.013423   -0.066707    0.013739  -0.0000721   0.0000000    0.222122    0.000000    0.017345    0.000000
   1907.60   -0.062734    0.013808   -0.045583    0.013722  -0.0000486   0.0000000    0.220831    0.000000    0.016910    0.000000
   1907.65   -0.084775    0.012077   -0.038001    0.012718   0.0002433   0.0000000    0.219072    0.000000    0.017344    0.000000
   1907.70   -0.117692    0.012937   -0.015014    0.013832  -0.0000971   0.0000000    0.218967    0.000000    0.017519    0.000000
   1907.75   -0.156784    0.015292    0.021298    0.013674  -0.0000023   0.0000000    0.220396    0.000000    0.017841    0.000000
   1907.80   -0.189046    0.018047    0.063225    0.014963   0.0000769   0.0000000    0.221393    0.000000    0.019018    0.000000
   1907.85   -0.160441    0.019454    0.122425    0.020630   0.0000036   0.0000000    0.223427    0.000000    0.019649    0.000000
   1907.90   -0.174330    0.021247    0.161424    0.016953  -0.0002249   0.0000000    0.225313    0.000000    0.020531    0.000000
   1907.95   -0.175625    0.024550    0.206593    0.024010   0.0002219   0.0000000    0.225775    0.000000    0.021195    0.000000
   1908.00   -0.097286    0.020958    0.248690    0.019220  -0.0001971   0.0000000    0.225810    0.000000    0.021805    0.000000
   1908.05   -0.103355    0.023339    0.239418    0.021696  -0.0001068   0.0000000    0.227382    0.000000    0.021303    0.000000
   1908.10   -0.059099    0.021135    0.273810    0.020821   0.0002576   0.0000000    0.227207    0.000000    0.021140    0.000000
   1908.15    0.009664    0.021138    0.247630    0.016429  -0.0001791   0.0000000    0.227729    0.000000    0.020079    0.000000
   1908.20    0.090470    0.026764    0.235728    0.018504   0.0001538   0.0000000    0.229298    0.000000    0.018995    0.000000
   1908.25    0.080715    0.018212    0.218229    0.021377   0.0000924   0.0000000    0.229311    0.000000    0.018199    0.000000
   1908.30    0.155906    0.018810    0.162084    0.016705  -0.0000823   0.0000000    0.229464    0.000000    0.017668    0.000000
   1908.35    0.153006    0.016731    0.112600    0.018833  -0.0000533   0.0000000    0.230066    0.000000    0.017404    0.000000
   1908.40    0.173963    0.016318    0.039654    0.016368   0.0001252   0.0000000    0.228840    0.000000    0.017742    0.000000
   1908.45    0.193500    0.015336    0.020831    0.015665  -0.0000778   0.0000000    0.225866    0.000000    0.017983    0.000000
   1908.50    0.183407    0.014039   -0.054454    0.015261  -0.0000479   0.0000000    0.224148    0.000000    0.017758    0.000000
   1908.55    0.151220    0.015403   -0.109364    0.015735   0.0002503   0.0000000    0.221011    0.000000    0.017950    0.000000
   1908.60    0.107920    0.014257   -0.142490    0.017729  -0.0001884   0.0000000    0.218005    0.000000    0.018017    0.000000
   1908.65    0.055400    0.013924   -0.182263    0.015622   0.0000465   0.0000000    0.218110    0.000000    0.017921    0.000000
   1908.70   -0.006809    0.014573   -0.171723    0.013941   0.0001516   0.0000000    0.217375    0.000000    0.018515    0.000000
   1908.75   -0.062121    0.013914   -0.178769    0.014410  -0.0001437   0.0000000    0.218672    0.000000    0.018822    0.000000
   1908.80   -0.121195    0.013585   -0.143238    0.015110   0.0001198   0.0000000    0.220862    0.000000    0.019775    0.000000
   1908.85   -0.198834    0.020560   -0.118794    0.017930   0.0001059   0.0000000    0.221928    0.000000    0.020876    0.000000
   1908.90   -0.257279    0.018706   -0.059723    0.017969  -0.0000479   0.0000000    0.223779    0.000000    0.021433    0.000000
   1908.95   -0.280222    0.025861   -0.002844    0.018205   0.0000230   0.0000000    0.225755    0.000000    0.022009    0.000000
   1909.00   -0.308510    0.026383    0.086996    0.022227   0.0001707   0.0000000    0.225750    0.000000    0.022357    0.000000
   1909.05   -0.341756    0.019584    0.134833    0.020696  -0.0002111   0.0000000    0.225465    0.000000    0.022472    0.000000
   1909.10   -0.251225    0.031110    0.177434    0.021255   0.0000178   0.0000000    0.226839    0.000000    0.021632    0.000000
   1909.15   -0.246521    0.026722    0.259110    0.023841   0.0001833   0.0000000    0.226768    0.000000    0.020912    0.000000
